flag_key,id,owner,scope,status,notes
FLAG_KEY_QOL_EXP_SHARE_INITIALIZED,0x12fd,T19,EXPANDED_SAVE_FLAGS,ALLOCATED,1個目badge境界で既定ONを一度だけ適用し明示OFFを再上書きしない
FLAG_KEY_QOL_DAYCARE_QUEST,0x12fe,T19,EXPANDED_SAVE_FLAGS,ALLOCATED,Kanto預かり屋quest完了だけをevent serviceが設定; visitから自動設定しない
FLAG_KEY_QOL_EGG_BASKET,0x12ff,T19,EXPANDED_SAVE_FLAGS,ALLOCATED,quest完了後のbasket ON/OFF; 256歩counterはVAR_KEY_QOL_EGG_BASKET_COUNTER
FLAG_KEY_T16_0000,0x1300,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0001,0x1301,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0002,0x1302,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0003,0x1303,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0004,0x1304,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0005,0x1305,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0006,0x1306,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0007,0x1307,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0008,0x1308,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0009,0x1309,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0010,0x130a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0011,0x130b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0012,0x130c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0013,0x130d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0014,0x130e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0015,0x130f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0016,0x1310,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0017,0x1311,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0018,0x1312,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0019,0x1313,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0020,0x1314,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0021,0x1315,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0022,0x1316,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0023,0x1317,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0024,0x1318,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0025,0x1319,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0026,0x131a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0027,0x131b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0028,0x131c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0029,0x131d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0030,0x131e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0031,0x131f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0032,0x1320,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0033,0x1321,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0034,0x1322,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0035,0x1323,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0036,0x1324,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0037,0x1325,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0038,0x1326,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0039,0x1327,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0040,0x1328,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
