feature_key,category,release_default,choices,unlock_key,ui_owner,release_enabled,notes
TEXT_SPEED,text,INSTANT,INSTANT|FAST|NORMAL,UNLOCK_GAME_START,OPTIONS_LIST,true,次の描画機会でglyphを即時表示しcontrol code順を保持
HATCH_MODE,breeding,FAST,NORMAL|FAST|SKIP,UNLOCK_GAME_START,OPTIONS_LIST,true,SKIPでもDex登録とnickname確認は省略しない
RUN_COURSE_FRAME_RATIO,movement,0.625,0.75_MAX,UNLOCK_GAME_START,FIELD_INPUT,true,Vega比25%以上短縮に対し固定courseは37.5%短縮
BICYCLE_COURSE_FRAME_RATIO,movement,0.375,0.50_MAX,UNLOCK_BICYCLE,FIELD_INPUT,true,Vega比50%以上短縮に対し固定courseは62.5%短縮
EXP_SHARE,qol_a,ON,ON|OFF,UNLOCK_BADGE_1,BAG_OR_OPTIONS,true,戦闘経験値のみ分配
EXP_CANDY,qol_a,ENABLED,XS|S|M|L|XL,UNLOCK_DH_BUILDING,PARTY_QUANTITY,true,100|800|3000|10000|30000
QUANTITY_UI,qol_a,ENABLED,x1|x5|x10|ALL,UNLOCK_GAME_START,EXISTING_QUANTITY,true,アメ・栄養・ハネ・ふしぎなアメ・テラピース・coin・EV reset共通
MODERN_BREEDING,qol_a,ENABLED,ENABLED,UNLOCK_DAYCARE,DAYCARE_MESSAGE,true,T09固定RNG core
IV_EV_COMPACT,qol_a,IV,IV|EV,UNLOCK_GAME_START,SUMMARY_AND_PC_PANE,true,新規full-screen pageなし
HYPER_TRAINING,qol_a,SV_STYLE,SV_STYLE,UNLOCK_BADGE_7,PARTY_MENU,true,実IV不変・戦闘31相当
MINT_ABILITY_ITEMS,qol_a,ENABLED,ENABLED,UNLOCK_DH_BUILDING,PARTY_MENU,true,効果なし時は非消費
EGG_PC_QUEUE,qol_a,ENABLED,PARTY|PC|QUEUE_5,UNLOCK_DAYCARE,DAYCARE_MESSAGE,true,満杯時は生成・消費しない
TM_REUSE_LICENSE,engine_slice,DISABLED,DISABLED|ENABLED,TM_LICENSE_UNLOCKED,EXISTING_TM_USE,true,T02 TM-use hook adapter。殿堂入り後に有効化
ENCOUNTER_PROFILE,engine_slice,NORMAL,NORMAL|RESEARCH,RESEARCH_PROFILE_UNLOCKED,EXISTING_SCANNER,true,NORMALはoriginal table byte同値。殿堂入り後に任意解禁
DEBUG_GIFT,debug,OFF,OFF|ON,BUILD_DEFINE,NONE,false,VEGA_ENGINE_SLICE_DEBUGのみでcompile
